State,City,Contested_2006,To_Prev,Partisan,Inc_Voteshare_Prev,Inc_Running_2006,Grp_Buy,Statewide_2005,Strata90,Strata70,Votesharechange,Votesharediff,Year_Exp
NC,Winston-Salem,0,25,1,78,1,51,0,0,0,20,,2005
CT,East Hartford,1,36,1,51,0,0,0,0,0,,24,2005
IA,Ames,1,21,0,97,0,71.19999695,0,0,1,,63,2005
NC,Asheville,1,26,0,51,0,70.80000305,0,0,1,,14,2005
NY,Binghamton,1,44,1,64,0,0,0,1,0,,30,2005
CO,Greeley,1,51,0,52,1,0,1,0,1,15,44,2005
ID,Nampa,1,19,0,54,1,0,0,0,1,4,17,2005
CT,Hamden,1,44,1,64,0,51.90000153,0,0,0,,50,2005
PA,York,1,22,1,54,1,0,0,0,0,11,30,2005
ID,Coeur d'Alene,1,26,0,76,1,0,0,1,0,0,52,2005
MI,Kalamazoo,1,16,0,71,0,0,0,1,0,,0.299999207,2005
CT,West Haven,1,42,1,60,1,51.90000153,0,0,0,-13,1,2005
MA,Pittsfield,1,45,0,54,1,0,0,0,0,18,44,2005
IA,Cedar Rapids,1,28,0,78,0,90.90000153,0,1,0,,2,2005
CT,Torrington,1,49,1,68,1,0,0,0,0,-19,2,2005
MN,Moorehead,1,37,0,62,1,0,0,1,0,22,70,2005
CT,Stamford,1,37,1,67,1,0,0,0,0,-16,5,2005
FL,Ocala,1,24,0,67,0,0,0,0,1,,2,2005
MA,Springfield,1,34,0,53,1,70.19999695,0,0,1,11,28,2005
OH,Toledo,1,43,0,61,1,50.29999924,1,0,0,-23,24,2005
MA,Holyoke,1,35,0,80,1,0,0,0,1,-15,33,2005
CT,Fairfield,1,56,1,54,1,0,0,0,0,1,10,2005
CT,Bristol,1,40,1,51,1,51.40000153,0,0,0,-10,18,2005
IA,Waterloo,1,25,0,55,1,90.59999847,0,1,0,-1,25,2005
NJ,Atlantic City,1,38,1,65,0,50.29999924,1,0,0,,63,2005
IA,Davenport,1,33,0,59,0,0,0,1,0,,11,2005
PA,Allentown,1,29,1,53,0,50.90000153,0,0,0,,21,2005
CT,Norwalk,1,45,1,62,1,0,0,0,0,-13,2,2005
UT,Sandy City,1,24,0,58,1,50.70000076,0,0,0,-5,6,2005
CT,Milford,0,57,1,63,1,52.40000153,0,0,0,37,,2005
CT,New Britain,1,38,1,52,1,51.40000153,0,0,0,1,7,2005
OH,Fairborn,1,30,0,77,1,50.70000076,1,0,0,-8,38,2005
OH,Kettering,1,20,0,100,0,0,1,0,0,,24,2005
MI,Jackson,1,18,0,62,1,51.09999847,0,0,0,6,36,2005
MA,.               Attleboro,1,26,0,57,1,0,0,0,0,14,42,2005
NY,Webster,1,49,1,59,0,0,0,0,0,,14,2005
UT,Provo,1,26,0,52,1,0,0,0,0,8,21,2005
CT,Middletown,1,41,1,53,1,0,0,0,0,-7,8,2005
NY,Syracuse,1,48,1,60,1,50.40000153,0,0,0,-11,2,2005
OH,Lima,1,45,0,62,1,0,1,1,0,14,52,2005
PA,Harrisburg,0,25,1,78,1,0,0,0,0,22,,2005
OH,Cincinnati,1,42,0,53,0,50.09999847,1,0,0,,4,2005
IA,.          Council Bluffs,1,27,0,65,1,0,0,0,0,8,46,2005
PA,Scranton,1,48,1,67,1,51.20000076,0,0,0,-12,10,2005
CA,Merced,1,37,0,64,0,90.30000305,1,1,0,,5,2005
MI,Wyoming,1,8,0,98,0,0,0,0,0,,17,2005
MA,New Bedford,1,20,0,68,0,0,0,0,0,,34,2005
CT,Stratford,1,52,1,54,0,52.40000153,0,0,0,,6,2005
MA,Fall River,1,39,0,51,1,50.5,0,0,0,9,22,2005
OH,.                     Dayton,1,45,0,52,1,50.70000076,1,0,0,1,9,2005
NC,Greenville,1,11,0,93,1,71,0,0,1,-12,70,2005
MA,Chicopee,1,41,0,51,1,0,0,0,1,-37,60,2005
FL,Deltona,1,22,0,75,0,50.59999847,0,0,0,,16,2005
NC,Fayetteville,1,21,0,66,1,70.59999847,0,0,1,-23,14,2005
NY,Henrietta,0,60,1,59,1,0,0,0,0,41,,2005
MA,Worcester,1,17,0,73,1,50.70000076,0,0,0,-20,25,2005
CA,Turlock,1,39,0,100,0,50.59999847,1,0,0,,26,2006
CA,Fontana,1,39,0,47,1,0,1,0,0,30,54,2006
GA,Augusta,1,45,0,56,1,90.30000305,1,1,0,10,48,2006
NV,Reno,1,51,0,54,1,90,1,1,0,21,50,2006
MI,Ann Arbor,1,60,1,69,1,50.20000076,1,0,0,9,57,2006
KY,Louisville Metro,1,51,1,71,1,0,0,0,0,-2,38,2006
CA,Cathedral City,1,61,0,51,1,90.30000305,1,1,0,11,33,2006
CA,El Cajon,1,39,0,51,1,0,1,0,0,5,30,2006
LA,Alexandria,1,39,1,66,0,90.5,0,1,0,,52,2006
CA,Seaside,1,53,0,39,1,50.20000076,1,0,0,19,16,2006
NE,Bellevue,1,37,0,66,1,50.79999924,1,0,0,-19,4,2006
RI,Cranston,1,62,1,64,0,0,1,0,0,,2,2006
MN,Richfield,1,78,0,54,1,0,1,0,0,-8,8,2006
OR,Corvallis,1,69,0,51,0,90,1,1,0,,21,2006
CA,Montclair,1,44,0,50,1,0,1,0,0,15,30,2006
MN,Rochester,1,69,0,55,1,0,1,1,0,23,57,2006
OR,Albany,1,59,0,97,0,0,1,1,0,,23,2006
MN,Eagan,1,65,0,70,0,50.09999847,1,0,0,,26,2006
CA,San Luis Obispo,1,71,0,52,1,0,1,0,1,-7,17,2006
MN,Brooklyn Park,1,64,0,57,1,50.09999847,1,0,0,11,36,2006
OR,Gresham,1,53,0,41,1,0,1,0,0,-1,19,2006
CA,West Sacramento,1,69,0,69,1,0,1,0,0,2,42,2006
